industry,work_key,invest_key
Business-to-Business Software,software solutions | business applications | enterprise tools | cloud services | data analytics | cybersecurity measures | network infrastructure | system integrations | digital transformation | IT consulting,cloud infrastructure | raw materials | manufacturing equipment | logistics software | cybersecurity tools | network hardware | data storage systems | system integrations | IT consulting services | digital marketing platforms
Enterprise Software,software applications | business solutions | enterprise tools | cloud infrastructure | data analytics | cybersecurity measures | system integrations | IT consulting | digital transformation | network infrastructure,cloud infrastructure | raw materials | manufacturing equipment | logistics software | cybersecurity tools | network hardware | data storage systems | system integrations | IT consulting services | digital marketing platforms
Cloud Computing,cloud services | data analytics | cybersecurity measures | network infrastructure | system integrations | IT consulting | digital transformation | cloud infrastructure | data storage systems | network hardware,cloud infrastructure | raw materials | manufacturing equipment | logistics software | cybersecurity tools | network hardware | data storage systems | system integrations | IT consulting services | digital marketing platforms
Infrastructure Software,infrastructure tools | system integrations | IT consulting | digital transformation | cloud infrastructure | data storage systems | network hardware | cybersecurity measures | data analytics | network infrastructure,cloud infrastructure | raw materials | manufacturing equipment | logistics software | cybersecurity tools | network hardware | data storage systems | system integrations | IT consulting services | digital marketing platforms
Developer Tools,software development | developer tools | coding frameworks | testing platforms | version control | debugging tools | development environments | coding languages | software testing | development workflows,cloud infrastructure | raw materials | manufacturing equipment | logistics software | cybersecurity tools | network hardware | data storage systems | system integrations | IT consulting services | digital marketing platforms
DevOps,software deployment | infrastructure management | cloud services | application monitoring | release automation | continuous integration | continuous delivery | agile methodologies | devops tools | it infrastructure,cloud infrastructure | raw materials | manufacturing equipment | logistics software | networking hardware | cybersecurity services | data analytics tools | collaboration platforms | project management software | it consulting services
DevSecOps,software security | infrastructure protection | cloud security | application vulnerability | release compliance | continuous monitoring | security testing | devsecops tools | it governance | cybersecurity frameworks,cybersecurity software | threat intelligence services | incident response | security consulting | compliance platforms | identity access management | access control systems | penetration testing tools | security information systems | risk management software
MLOps,machine learning models | data pipelines | model deployment | ai applications | predictive analytics | data science tools | model management | ai infrastructure | data engineering | ml platforms,data storage systems | ai hardware | machine learning software | data analytics tools | cloud computing services | data visualization platforms | collaboration software | project management tools | it consulting services | data security solutions
Artificial Intelligence,ai applications | machine learning models | natural language processing | computer vision | predictive analytics | ai infrastructure | data engineering | ai software | ml platforms | data science tools,ai hardware | machine learning software | data analytics tools | cloud computing services | data storage systems | data visualization platforms | collaboration software | project management tools | it consulting services | data security solutions
Machine Learning,machine learning models | data pipelines | model deployment | ai applications | predictive analytics | data science tools | model management | ai infrastructure | data engineering | ml platforms,machine learning software | data analytics tools | cloud computing services | data storage systems | ai hardware | data visualization platforms | collaboration software | project management tools | it consulting services | data security solutions
Generative AI,AI models | text generation | image synthesis | machine learning | deep learning | neural networks | natural language | computer vision | predictive analytics | data simulation,GPU infrastructure | cloud computing | high-performance storage | data analytics software | machine learning frameworks | neural network libraries | data simulation tools | AI training data | cloud services | data center infrastructure
AI Infrastructure,AI platforms | machine learning | deep learning | neural networks | natural language processing | computer vision | predictive analytics | data simulation | cloud infrastructure | data center operations,GPU servers | cloud storage | high-performance networking | machine learning frameworks | neural network libraries | data simulation tools | AI training data | cloud services | data center equipment | power generation
Data Analytics,data insights | business intelligence | data visualization | predictive analytics | data mining | data warehousing | data integration | data quality | data governance | data security,data analytics software | business intelligence tools | data visualization platforms | data mining tools | data warehousing solutions | data integration platforms | data quality management | data governance frameworks | data security solutions | cloud storage
Business Intelligence,business insights | data visualization | predictive analytics | data mining | data warehousing | data integration | data quality | data governance | data security | key performance indicators,business intelligence tools | data visualization platforms | data mining software | data warehousing solutions | data integration platforms | data quality management | data governance frameworks | data security solutions | cloud storage | data analytics software
Data Engineering,data pipelines | data architecture | data integration | data quality | data governance | data security | data warehousing | data mining | predictive analytics | data visualization,data integration platforms | data quality management | data governance frameworks | data security solutions | cloud storage | data analytics software | data warehousing solutions | data mining tools | data visualization platforms | data engineering tools
Data Management,data storage | data analytics | data processing | data backup | data recovery | data migration | data governance | data compliance | data quality | data integration,cloud infrastructure | data centers | storage systems | network equipment | server hardware | data software | database tools | backup solutions | recovery services | data analytics platforms
Cybersecurity,cyber threats | security breaches | network attacks | data protection | security measures | threat intelligence | incident response | security audits | vulnerability management | security compliance,security software | firewall systems | intrusion detection | security consulting | penetration testing | security training | incident response services | security equipment | threat intelligence platforms | security analytics
Identity and Access Management,user identities | access controls | identity management | user authentication | access governance | identity analytics | access management | identity compliance | user provisioning | access reviews,identity software | directory services | access management tools | identity verification | authentication services | access governance platforms | identity analytics solutions | access management systems | identity compliance tools | user provisioning services
Network Security,network threats | security breaches | network attacks | data protection | security measures | threat intelligence | incident response | security audits | vulnerability management | security compliance,network equipment | firewall systems | intrusion detection | security consulting | penetration testing | security training | incident response services | security software | threat intelligence platforms | security analytics
Endpoint Security,endpoint threats | security breaches | endpoint attacks | data protection | security measures | threat intelligence | incident response | security audits | vulnerability management | security compliance,endpoint software | antivirus systems | intrusion detection | security consulting | penetration testing | security training | incident response services | security equipment | threat intelligence platforms | security analytics
Cloud Security,cloud services | security solutions | data protection | cybersecurity | threat detection | incident response | compliance management | access control | identity verification | network monitoring,cloud infrastructure | security software | cybersecurity tools | network equipment | data storage | firewalls | intrusion detection | antivirus solutions | encryption technology | identity access management
Application Security,application development | software testing | security auditing | vulnerability assessment | penetration testing | code review | security compliance | risk management | incident response | security training,security software | development tools | testing equipment | security consulting | risk assessment | compliance services | security training | penetration testing tools | vulnerability scanning | code analysis
No-Code and Low-Code Platforms,software development | application creation | low-code solutions | no-code platforms | digital transformation | business automation | process optimization | application integration | data management | business process management,development tools | integration software | low-code platforms | no-code tools | cloud infrastructure | data storage | application servers | integration services | business process management software | data analytics
API Technology,api development | api integration | api management | api security | api governance | api analytics | api monetization | api design | api testing | api deployment,api software | integration tools | api gateways | api security tools | api analytics software | api management platforms | api testing tools | api design tools | api deployment tools | api monitoring software
Integration Platforms,data integration | application integration | system integration | process automation | business process management | data management | application servers | integration services | data analytics | business intelligence,integration software | data storage | application servers | integration services | data analytics software | business intelligence tools | data management platforms | application integration tools | system integration software | process automation tools
Enterprise Resource Planning,business software | resource planning | enterprise systems | system integration | process automation | data management | business intelligence | resource optimization | system implementation | process management,cloud infrastructure | software licenses | hardware equipment | network infrastructure | data storage | cybersecurity tools | system maintenance | consulting services | training programs | software development
Customer Relationship Management Software,customer data | relationship management | customer insights | sales automation | customer engagement | customer experience | customer support | customer feedback | customer analytics | customer service,customer data platforms | sales intelligence tools | marketing automation | customer service software | communication platforms | data analytics tools | customer feedback systems | sales enablement tools | customer success platforms | customer experience software
Revenue Intelligence,revenue growth | sales performance | revenue management | sales analytics | revenue forecasting | sales strategy | revenue optimization | sales insights | revenue reporting | sales metrics,sales intelligence tools | data analytics software | sales enablement platforms | revenue management software | sales forecasting tools | sales performance metrics | revenue optimization software | sales analytics tools | sales strategy platforms | revenue reporting tools
Conversation Intelligence,conversation insights | sales conversations | conversation analysis | sales performance | conversation data | sales analytics | conversation intelligence | sales insights | conversation metrics | sales reporting,conversational AI platforms | sales intelligence tools | conversation analytics software | sales enablement platforms | conversation data platforms | sales performance metrics | conversation intelligence tools | sales strategy platforms | conversation reporting tools | sales analytics software
Sales Engagement,sales engagement | sales performance | sales strategy | sales analytics | sales insights | sales metrics | sales reporting | sales enablement | sales optimization | sales productivity,sales intelligence tools | sales enablement platforms | sales analytics software | sales strategy platforms | sales performance metrics | sales optimization software | sales productivity tools | sales reporting tools | sales analytics tools | sales engagement software
Sales Intelligence,sales data | intelligence reports | customer insights | market trends | sales analytics | customer profiling | sales forecasting | lead generation | sales performance | customer engagement,data analytics tools | machine learning software | cloud infrastructure | data storage solutions | cybersecurity services | data integration platforms | artificial intelligence | data visualization tools | big data solutions | data management systems
Intent Data,intent signals | customer behavior | purchase intent | market research | customer insights | intent analytics | customer profiling | purchase forecasting | customer engagement | sales intelligence,machine learning software | data analytics tools | cloud infrastructure | data storage solutions | cybersecurity services | data integration platforms | artificial intelligence | data visualization tools | big data solutions | data management systems
Account-Based Marketing Technology,account targeting | personalized marketing | account profiling | marketing analytics | account engagement | marketing automation | account-based marketing | lead generation | customer insights | sales intelligence,marketing automation software | data analytics tools | cloud infrastructure | data storage solutions | cybersecurity services | data integration platforms | artificial intelligence | data visualization tools | big data solutions | data management systems
Customer Data Platform,customer profiles | data management | customer insights | data analytics | customer engagement | data integration | customer segmentation | data quality | customer profiling | sales intelligence,data management software | data analytics tools | cloud infrastructure | data storage solutions | cybersecurity services | data integration platforms | artificial intelligence | data visualization tools | big data solutions | data management systems
Marketing Technology,marketing analytics | marketing automation | lead generation | customer insights | sales intelligence | marketing software | customer engagement | marketing data | marketing performance | customer profiling,marketing automation software | data analytics tools | cloud infrastructure | data storage solutions | cybersecurity services | data integration platforms | artificial intelligence | data visualization tools | big data solutions | data management systems
Advertising Technology,advertising platforms | digital marketing | online campaigns | targeted ads | social media | influencer marketing | brand awareness | user engagement | ad spend | media buying,data analytics | machine learning | cloud infrastructure | advertising software | social media platforms | influencer networks | content creation tools | user data | marketing automation | SEO services
